Compound,smiles,MW,Vol,Density,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,MP,BP,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,HLM-human,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous,Molecule,Canonical SMILES,Formula,MW,Heavy atoms,Aromatic heavy atoms,Fsp3,nRot,nHA,nHD,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski,Ghose,Veber,Egan,Muegge,Bioavailability Score,PAINS,Brenk,Leadlikeness,Synthetic Accessibility
TQ_D11,CC(C)C1=C(O)C(=O)C2=C(C=C[C@@]3(C)C2=CCCC3(C)C)C1=O,312.17,339.3587137,0.919882082,3,1,54.37,1,3,14,3,0,18,0.055555556,1,1,0.737,4.045,0.5,52.133,2.416,"[(7, 6, 4, 3, 21, 22, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,1,0,0,-4.749045042,3.284243971,3.672107641,180.1009818,316.6221688,6.97244964,3.546505323,-4.634949499,-4.707364079,0.382216632,0.993604958,0.021069773,0.635520101,0.492501855,0.989225861,0.999176087,0.998753071,0.99814117,0.062609471,0.999220252,0.006414817,0.993060708,96.82220608,0.046336109,2.520641318,0.841671646,0.883525014,0.972842753,0.543337047,0.785089254,0.18957752,0.607360423,4.77E-05,0.766025305,0.897280276,0.997579753,0.028912475,0.999828219,0.998544097,2.592662601,1.221334554,2.147105914,4.898316216,6.620982954,6.19608171,0.021746514,0.072156005,0.401207626,0.40266946,0.759280443,0.726842225,0.865750194,0.898145199,0.01806983,0.806217253,0.651108861,0.650165081,0.0430599,0.480751395,0.470661044,0.746994495,0.966572702,0.150118917,0.01384564,0.222374707,0.008625777,0.010580358,0.000107922,0.829112411,0.202559382,0.003745216,0.001146489,0.781214654,0.005816512,0.006826081,0.187860712,0.274237841,4,1,0,0,"[(3,), (6,), (3, 4, 6, 5), (3,), (3, 1, 21, 4, 6, 7), (3, 1, 4, 6, 8, 7), (11, 10, 9, 8, 6)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 21, 22), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 21, 22, 9, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.739,0.282,0.451,0.377,0.671,0.782,0.152,TQ_D11,O=C1C(=C(C(C)C)C(=O)C2=C1C1=CCCC([C@]1(C=C2)C)(C)C)O,C20H24O3,312.4,23,0,0.5,1,3,1,91.47,54.37,n/d,4.27,4.23,2.59,4.08,3.79,-4.4,1.24E-02,3.97E-05,Moderately soluble,-5.12,2.35E-03,7.52E-06,Moderately soluble,-4.14,2.28E-02,7.31E-05,Moderately soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-5.17,0,0,0,0,0,0.85,1,1,1,4.65
TQ_D12,CCCC1=C(O)C(=O)C2=C(CC[C@H]3[C@@H](C)[C@@H](C)CC[C@]23C)C1=O,316.2,344.6316316,0.917501387,3,1,54.37,2,3,14,3,0,18,0.111111111,4,1,0.762,4.309,0.7,51.882,2.363,"[(7, 6, 4, 3, 21, 22, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,1,1,0,-5.214945877,4.082795418,4.540621505,156.423602,334.7931219,7.727528032,3.319368225,-4.573762382,-4.548837588,0.596580923,0.72319454,0.006890617,0.021776855,0.306667566,0.903813668,0.988877908,0.9984321,0.997338235,0.091187887,0.974685907,0.002932327,0.316611737,97.16748943,-0.014417873,2.601654666,0.673476517,0.382053196,0.391342044,0.895689309,0.945315838,0.075514138,0.005024167,4.48E-05,0.0041393,0.940853953,0.726045132,0.002658648,0.652152002,0.550672948,9.227006045,0.674848975,1.963673072,4.91714677,6.323588594,5.927304556,0.023084359,0.088324673,0.700937152,0.359426916,0.096100785,0.181478217,0.905794561,0.914092064,0.74748069,0.996807575,0.745187461,0.653140545,0.016984433,0.435449541,0.87888211,0.687502146,0.044140279,0.053832106,0.089353941,0.241417751,0.043077905,0.21670489,0.06118698,0.596048951,0.819389582,0.590497136,0.055291448,0.892413676,0.005137741,0.413934946,0.735607922,0.972030401,4,1,0,0,"[(3,), (6,), (3, 4, 6, 5), (3,), (3, 2, 21, 4, 6, 7), (3, 2, 4, 6, 8, 7)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 21, 22), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 21, 22, 9, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.506,0.442,0.081,0.001,0.678,0.742,0.073,TQ_D12,CCCC1=C(O)C(=O)C2=C(C1=O)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@H]1C)C,C20H28O3,316.43,23,0,0.7,2,3,1,92.68,54.37,n/d,5.13,4.53,2.76,4.28,4.17,-4.9,3.97E-03,1.25E-05,Moderately soluble,-6.02,3.05E-04,9.63E-07,Poorly soluble,-4.54,9.02E-03,2.85E-05,Moderately soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-4.59,0,0,0,0,1,0.85,1,1,1,4.88
TQ_D13,CC1=C(Br)C(=O)C(C(C)C)=C(Br)C1=O,319.9,218.561709,1.463659858,2,0,34.14,1,1,6,4,0,8,0.125,0,0,0.695,3.198,0.4,10,0.682,"[(5, 4, 2, 1, 12, 13, 10, 6), (5, 4, 6, 10, 12, 1, 2, 3), (1, 2, 3), (1, 2, 4, 5, 6)]",0,['-'],0,1,0,0,-4.452518347,3.201379309,3.412696154,75.2872825,278.7299023,6.59848975,2.078335065,-4.640047197,-4.65647192,0.165828943,0.973689079,1.80E-05,0.787700996,0.024371266,0.880279593,0.702622801,0.997406781,0.999796689,0.000354709,0.999975801,0.002589435,0.966487706,93.68934182,0.102660514,4.899346492,0.999998689,0.021897091,0.999937534,0.004621152,0.999993443,4.56E-07,0.216142371,1.20E-08,0.941994309,0.088092417,0.996770501,0.000286515,0.999961019,0.820772052,5.914214599,1.782881504,1.704286575,5.009676362,6.2562458,5.965802692,0.032699268,0.366964161,0.852970958,0.941328108,0.778774619,0.89246428,0.999240875,0.973966956,0.999993801,0.999788582,0.961655557,0.59473455,0.288869619,0.049824949,0.426153541,0.256422937,0.992496014,0.179314733,0.017047819,0.688283741,0.012749641,0.000870974,0.001255275,0.16068399,0.099802844,0.000812191,0.001614017,0.901149035,0.000255445,0.077309236,0.102041468,0.336469382,7,1,0,0,"[(1,), (4,), (1,), (1, 0, 12, 2, 4, 5), (1, 0, 2, 4, 6, 5)]","[(1, 2, 4, 5, 6), (1, 2, 4, 5, 6, 10, 12, 13), (1,)]","[(1, 2, 4), (5, 4, 2, 1, 12, 13, 10, 6)]","[(1,), (1, 2, 4, 5, 6)]",0.255,0.277,0.019,0.266,0.923,0.689,0.023,TQ_D13,O=C1C(=C(Br)C(=O)C(=C1Br)C(C)C)C,C10H10Br2O2,321.99,14,0,0.4,1,2,0,63.26,34.14,n/d,3.34,3.11,1.93,3.64,3,-3.87,4.30E-02,1.33E-04,Soluble,-3.73,5.94E-02,1.84E-04,Soluble,-4.16,2.24E-02,6.95E-05,Moderately soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-5.89,0,0,0,0,0,0.55,2,1,0,3.35
TQ_D14,CC(C)C1=C(O)C(=O)C2=C(C=C[C@@]3(C)C(C)(C)CCC[C@]23C)C1=O,328.2,359.2911579,0.913465285,3,1,54.37,1,3,14,3,0,18,0.055555556,2,1,0.71,4.28,0.619,58.824,2.601,"[(7, 6, 4, 3, 22, 23, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,1,0,0,-4.511555866,3.550478162,3.809697909,178.2649411,305.0896662,7.538485466,4.045226743,-4.66003647,-4.738724701,0.329356134,0.978451252,0.006573357,0.269933939,0.386315107,0.96468056,0.998963788,0.998648345,0.998972654,0.100629345,0.997650802,0.048494607,0.990830898,95.12365892,0.188632337,4.042114028,0.971338809,0.009543926,0.930561006,0.260205716,0.989846647,0.000139953,0.12228588,7.92E-06,0.375187397,0.987667322,0.999998093,0.095969297,0.999976039,0.57856667,5.505051091,0.76654363,2.411310099,4.882459214,6.367119448,6.082092332,0.024081267,0.07239861,0.448945433,0.371687442,0.826824725,0.778979838,0.814496696,0.867730379,0.03149141,0.896606863,0.798044443,0.566897333,0.062801741,0.452532381,0.405521929,0.791238368,0.925512671,0.153485596,0.006750889,0.14298825,0.000621748,0.009678436,2.25E-05,0.511555731,0.055306841,0.001029838,0.000160257,0.602027237,0.002288942,0.005735036,0.219470367,0.077872135,4,1,0,0,"[(3,), (6,), (3, 4, 6, 5), (3,), (3, 1, 22, 4, 6, 7), (3, 1, 4, 6, 8, 7), (11, 10, 9, 8, 6)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 22, 23), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 22, 23, 9, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.55,0.35,0.578,0.09,0.607,0.755,0.049,TQ_D14,O=C1C(=C(C(C)C)C(=O)C2=C1[C@@]1(C)CCCC([C@@]1(C=C2)C)(C)C)O,C21H28O3,328.45,24,0,0.62,1,3,1,96.49,54.37,n/d,5.39,4.7,2.89,4.6,4.39,-5.21,2.04E-03,6.22E-06,Moderately soluble,-6.29,1.70E-04,5.17E-07,Poorly soluble,-4.75,5.81E-03,1.77E-05,Moderately soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-4.48,0,0,0,0,1,0.85,1,1,1,4.99
TQ_D15,CC(C)C1=C(O)C(=O)C2=C(CC[C@H]3[C@@](C)(CO)CCC[C@]23C)C1=O,332.2,353.4218586,0.93995318,4,2,74.6,2,3,14,4,0,18,0.111111111,3,1,0.759,4.222,0.7,56.824,2.941,"[(7, 6, 4, 3, 22, 23, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,0,0,0,-4.27238409,2.650242856,2.574383238,218.2189058,312.4153676,8.100702923,5.284126649,-4.646567338,-4.715536317,0.958422482,0.35809955,0.023600779,0.8345512,0.840239137,0.989827625,0.999643697,0.970194459,0.989062846,0.163819894,0.913621724,0.000608499,0.913854718,93.74006274,0.224982676,6.350995662,0.147197381,0.022244679,0.01132305,0.03835164,0.758632898,0.002064269,0.000170575,3.74E-05,0.001626565,0.523012102,0.791347802,0.000376951,0.984158754,0.040338609,5.981475324,1.044402648,1.421599682,4.10829127,5.754143194,5.032164709,0.031009981,0.104834795,0.427838534,0.375636786,0.179243863,0.343520194,0.890907347,0.858521998,0.010754033,0.83634156,0.305804521,0.819589138,0.035105236,0.5334602,0.732386827,0.710749328,0.294720173,0.063371226,0.040001079,0.254014194,0.001958607,0.145111918,0.014168954,0.335552156,0.172350079,0.003008042,0.000330076,0.447859913,0.002472861,0.005003459,0.076020695,0.125465199,4,1,0,0,"[(3,), (6,), (3, 4, 6, 5), (3,), (3, 1, 22, 4, 6, 7), (3, 1, 4, 6, 8, 7)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 22, 23), (16, 15, 13), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 22, 23, 9, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.115,0.03,0.05,0.011,0.428,0.761,0.068,TQ_D15,OC[C@@]1(C)CCC[C@]2([C@H]1CCC1=C2C(=O)C(=C(C1=O)C(C)C)O)C,C20H28O4,332.43,24,0,0.7,2,4,2,93.58,74.6,n/d,3.65,3.5,1.9,3.89,3.24,-4.07,2.84E-02,8.54E-05,Moderately soluble,-4.91,4.13E-03,1.24E-05,Moderately soluble,-4.05,2.94E-02,8.83E-05,Moderately soluble,0,0,Yes,n/d,n/d,n/d,n/d,n/d,-5.74,0,0,0,0,0,0.85,1,1,1,4.8
TQ_D16,COc1cc(C)c2c(c1)CC1=C(C=C2O)C(=O)C(C(C)C)=C(O)C1=O,340.13,351.6662498,0.967195459,5,2,83.83,2,3,15,5,0,19,0.105263158,0,1,0.807,3.172,0.3,43.615,1.523,"[(16, 15, 11, 10, 23, 24, 21, 17), (10, 11, 15, 16, 17)]",0,['-'],0,0,0,0,-4.639482472,2.804584337,3.104928611,209.6696209,321.7702633,7.694622323,3.347307074,-4.573403942,-4.641726515,0.80898118,0.349936217,0.098937124,0.893487625,0.737028271,0.985926464,0.998619145,0.993722379,0.999032497,0.095929496,0.921880901,9.65E-05,0.979813635,97.98755835,-0.255661018,1.636226649,0.999943614,0.734958768,0.119041756,0.003528326,0.865145326,0.607246995,0.000820455,0.001231512,0.01105081,0.004813214,0.791350543,0.000249963,0.866865695,0.12590839,1.979429063,1.23426592,1.701613738,4.498980464,5.860626109,5.474893022,0.024995463,0.059883691,0.945442319,0.643851578,0.663552165,0.450929433,0.83929044,0.869235456,0.00280968,0.785899222,0.761821747,0.79339081,0.18331641,0.677391827,0.899337053,0.906346083,0.963529468,0.252652049,0.051343467,0.282164633,0.394670516,0.068417758,0.001811804,0.499625832,0.116884947,0.003103846,0.000335245,0.865500629,0.002650361,0.102071993,0.701930165,0.704608381,4,1,0,0,"[(10,), (15,), (12, 13, 6, 14), (10,), (10, 9, 23, 11, 15, 16), (10, 9, 11, 15, 17, 16)]","[(10, 11, 15, 16, 17), (10, 11, 15, 16, 17, 21, 23, 24), (10,)]","[(10, 11, 15), (16, 15, 11, 10, 23, 24, 21, 17)]","[(10,), (10, 11, 15, 16, 17)]",0.487,0.378,0.831,0.448,0.246,0.815,0.19,TQ_D16,COc1cc2CC3=C(C=C(c2c(c1)C)O)C(=O)C(=C(C3=O)O)C(C)C,C20H20O5,340.37,25,6,0.3,2,5,2,94.59,83.83,n/d,3.15,3.38,1.02,3.63,2.79,-3.98,3.56E-02,1.05E-04,Soluble,-4.58,8.94E-03,2.63E-05,Moderately soluble,-4.52,1.03E-02,3.03E-05,Moderately soluble,0,1,No,n/d,n/d,n/d,n/d,n/d,-6.14,0,0,0,0,0,0.56,1,1,0,3.84
TQ_D17,CC(C)C1=C(O)C(=O)C2=C(C(=O)C[C@H]3C(C)(C)C(=O)CC[C@]23C)C1=O,344.16,356.9391677,0.964197912,5,1,88.51,1,3,14,5,0,20,0.05,2,1,0.584,3.982,0.6,59.375,2.799,"[(7, 6, 4, 3, 23, 24, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,0,0,0,-4.102665666,1.863489077,1.610085741,251.4567371,320.96131,6.97566865,2.682595535,-4.489135248,-4.722583085,0.916057527,0.986712098,0.000291226,0.90263211,0.59079802,0.983907223,0.998799064,0.998244047,0.99999094,0.072779752,0.999803245,3.22E-05,0.955352366,84.12020526,0.360943295,16.70060604,0.152605832,0.00068108,0.745694101,0.057388138,0.869153202,6.00E-07,4.61E-05,3.25E-10,0.041736867,0.998089731,0.749280751,0.000207872,0.999972343,0.839630842,4.465481515,0.882825525,1.134836996,3.797848494,5.157664564,4.652316305,0.008109253,0.064041831,0.867078662,0.527946949,0.584976912,0.434839189,0.963912666,0.905493438,0.003375528,0.396070778,0.128164425,0.86116612,0.233680099,0.564465344,0.942667127,0.938333929,0.994647682,0.195896134,0.019917987,0.293056309,0.005542485,0.074508063,0.00155168,0.867611647,0.680092692,0.008558464,0.001238398,0.412858099,0.022481257,0.003223272,0.034700725,0.55213362,4,1,0,0,"[(3,), (6,), (14, 17, 18, 19), (3, 4, 6, 5), (3,), (8, 9, 10, 11, 12), (3, 1, 23, 4, 6, 7), (3, 1, 4, 6, 8, 7)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 23, 24), (14, 17, 18, 19), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 23, 24, 9, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.421,0.035,0.091,0.033,0.486,0.784,0.044,TQ_D17,O=C1C[C@@H]2[C@](C3=C1C(=O)C(=C(C3=O)O)C(C)C)(C)CCC(=O)C2(C)C,C20H24O5,344.4,25,0,0.6,1,5,1,92.82,88.51,n/d,2.32,2.89,0.91,3.89,2.5,-3.37,1.47E-01,4.26E-04,Soluble,-3.82,5.24E-02,1.52E-04,Soluble,-4.38,1.43E-02,4.15E-05,Moderately soluble,0,1,No,n/d,n/d,n/d,n/d,n/d,-6.75,0,0,0,0,0,0.56,1,2,0,4.62
TQ_D18,CC(C)C1=C(O)C(=O)C2=C(CC[C@@]3(C)C(C)(C)C(=O)CC[C@]23C)C1=O,344.2,368.0813849,0.935119281,4,1,71.44,1,3,14,4,0,19,0.052631579,2,0,0.727,4.257,0.667,62.4,2.561,"[(7, 6, 4, 3, 23, 24, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,0,0,0,-3.997868306,2.270491799,2.274762829,226.1523054,293.4900307,7.181795218,4.537143628,-4.561605555,-4.729050524,0.883701563,0.989495695,0.002207819,0.518303543,0.763578326,0.97197515,0.999351189,0.999693036,0.999982953,0.583796859,0.999808133,0.00034181,0.992591023,84.13074655,0.364429012,15.61940402,0.452119052,0.724681199,0.000460657,0.045664947,0.304570884,0.000109634,1.94E-05,7.15E-09,0.018326914,0.997874141,0.963882506,0.002344478,0.997516274,0.08024323,5.888593044,1.002642361,1.311288448,3.974440326,5.461316058,4.87913729,0.017192325,0.079700135,0.607551217,0.422492087,0.478799105,0.346026033,0.689886808,0.799574733,0.015345846,0.632190526,0.28213954,0.76947552,0.129705206,0.481867462,0.830698133,0.768711269,0.974000096,0.113298789,0.02751169,0.208838955,0.002019347,0.132144794,0.000936171,0.943633556,0.653201461,0.00595261,0.001031132,0.146584347,0.004237078,0.001029031,0.008407271,0.246795997,4,1,0,0,"[(3,), (6,), (14, 17, 18, 19), (3, 4, 6, 5), (3,), (3, 1, 23, 4, 6, 7), (3, 1, 4, 6, 8, 7)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 23, 24), (14, 17, 18, 19), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 23, 24, 9, 8)]","[(3,), (3, 4, 6, 7, 8)]",0.528,0.012,0.121,0.065,0.576,0.744,0.039,TQ_D18,O=C1C(=C(C(C)C)C(=O)C2=C1[C@@]1(C)CCC(=O)C([C@@]1(CC2)C)(C)C)O,C21H28O4,344.44,25,0,0.67,1,4,1,97.16,71.44,n/d,3.61,4.1,2.04,4.7,3.61,-4.18,2.26E-02,6.55E-05,Moderately soluble,-4.8,5.49E-03,1.59E-05,Moderately soluble,-5.1,2.74E-03,7.96E-06,Moderately soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-5.84,0,0,0,0,0,0.85,1,1,1,4.66
TQ_D19,C=CCC1=C(O)C(=O)C2=C(C1=O)[C@H](O)[C@@H](O)[C@H]1C(C)(C)CCC[C@]21C,346.18,359.5756266,0.962746011,5,3,94.83,2,3,14,5,0,19,0.105263158,4,1,0.527,4.667,0.6,60,2.789,"[(7, 6, 4, 3, 10, 11, 9, 8), (3, 4, 6, 7, 8)]",0,['-'],0,0,0,0,-4.033059125,2.589697523,2.386206943,189.1116404,312.7808581,7.447734041,4.93103079,-4.969838522,-4.794624997,0.305284351,0.972183049,4.55E-05,0.935942657,0.448731244,0.998713224,0.990535222,0.999760568,0.99986887,0.015203643,0.910442352,0.000698605,0.184609503,95.65758682,0.006209975,3.954078412,0.004929756,0.010403925,0.198520377,0.084440611,0.966234684,0.926373124,0.01299251,0.003833887,0.285482913,0.001822086,0.986366689,4.54E-07,0.999626875,0.96937108,9.244912621,1.441037638,1.51993212,4.221843133,5.985670759,5.411637463,0.007038856,0.078608386,0.543480158,0.499774545,0.375579119,0.241592348,0.964243174,0.826733053,0.012644818,0.718745828,0.379079729,0.644226253,0.028304892,0.69280231,0.696572959,0.883525848,0.793810368,0.080199853,0.047725476,0.162598535,0.005224402,0.016530875,9.89E-05,0.11807251,0.030439267,0.004750562,0.000109021,0.06283801,0.003561615,0.004147171,0.375317693,0.014878787,4,1,0,0,"[(3,), (6,), (3, 4, 6, 5), (3,), (3, 2, 10, 4, 6, 7), (3, 2, 4, 6, 8, 7)]","[(3, 4, 6, 7, 8), (3, 4, 6, 7, 8, 9, 10, 11), (13, 12, 14), (3,)]","[(3, 4, 6), (7, 6, 4, 3, 10, 11, 9, 8), (1, 0)]","[(3,), (3, 4, 6, 7, 8)]",0.311,0.086,0.238,0.042,0.262,0.271,0.266,TQ_D19,C=CCC1=C(O)C(=O)C2=C(C1=O)[C@H](O)[C@H]([C@@H]1[C@]2(C)CCCC1(C)C)O,C20H26O5,346.42,25,0,0.6,2,5,3,94.27,94.83,n/d,2.73,2.39,0.99,2.88,2.25,-3.58,9.20E-02,2.66E-04,Soluble,-4.38,1.46E-02,4.21E-05,Moderately soluble,-3.02,3.31E-01,9.55E-04,Soluble,0,1,Yes,n/d,n/d,n/d,n/d,n/d,-6.47,0,0,0,0,0,0.56,1,2,0,5.07
TQ_D20,C[C@H](CO)C1=C(O)C(=O)C2=C(C[C@@H](O)[C@H]3C(C)(C)CCC[C@]23C)C1=O,348.19,362.2120855,0.961287638,5,3,94.83,2,3,14,5,0,18,0.111111111,4,1,0.667,4.599,0.7,59.294,2.92,"[(8, 7, 5, 4, 23, 24, 10, 9), (4, 5, 7, 8, 9)]",0,['-'],0,0,0,0,-3.62136237,1.806414842,1.694751333,236.2238982,324.2663838,7.773943625,4.089288813,-5.100103716,-5.022508758,0.966831148,0.665310383,0.01532721,0.381130576,0.427923322,0.905795366,0.97296077,0.995383322,0.998667955,0.014974182,0.950272441,0.000147519,0.96123594,88.04868927,-0.113524504,8.718592144,0.000171313,0.00054728,0.001260828,0.625352621,0.739290237,0.903132498,0.000312798,4.47E-05,0.025201434,0.939019203,0.999659777,7.10E-15,0.995543897,0.01486131,3.358223971,1.933888792,0.96495596,3.602064978,5.396767301,4.641873145,0.010414338,0.039456218,0.582470477,0.508634448,0.172203243,0.364434987,0.98706764,0.767241418,0.000907557,0.474127293,0.166175365,0.727412462,0.073402204,0.796612382,0.761965752,0.876314104,0.589799404,0.124718778,0.027433408,0.217685133,0.000288759,0.122889094,0.000460427,0.037088428,0.034463156,2.38E-05,2.52E-05,0.021187883,0.001210087,0.000262605,0.00558522,0.010166548,4,1,0,0,"[(4,), (7,), (4, 5, 7, 6), (4,), (4, 1, 23, 5, 7, 8), (4, 1, 5, 7, 9, 8)]","[(4, 5, 7, 8, 9), (4, 5, 7, 8, 9, 10, 23, 24), (3, 2, 1), (4,)]","[(4, 5, 7), (8, 7, 5, 4, 23, 24, 10, 9)]","[(4,), (4, 5, 7, 8, 9)]",0.346,0.185,0.141,0.033,0.252,0.456,0.098,TQ_D20,OC[C@H](C1=C(O)C(=O)C2=C(C1=O)C[C@@H](O)[C@@H]1[C@]2(C)CCCC1(C)C)C,C20H28O5,348.43,25,0,0.7,2,5,3,94.74,94.83,n/d,2.68,2.47,1.08,3,2.31,-3.56,9.67E-02,2.78E-04,Soluble,-4.32,1.65E-02,4.75E-05,Moderately soluble,-3.24,2.01E-01,5.77E-04,Soluble,0,1,Yes,n/d,n/d,n/d,n/d,n/d,-6.52,0,0,0,0,0,0.56,1,1,0,5.06
TQ_D21,COc1cc(C)c2c(c1)C(OC)C1=C(C=C2)C(=O)C(C(C)C)=C(O)C1=O,354.15,368.962235,0.959854333,5,1,72.83,3,3,15,5,0,19,0.157894737,1,1,0.839,3.688,0.333,64.5,1.477,"[(17, 16, 13, 12, 24, 25, 22, 18), (12, 13, 16, 17, 18)]",0,['-'],0,1,0,0,-4.967058252,3.224461241,3.565088434,159.6010724,320.2484684,7.492457473,3.302720481,-4.780791891,-4.641426461,0.064471245,0.957646728,0.037960447,0.741199464,0.208746672,0.928298511,0.983828209,0.999008715,0.999739707,0.025095725,0.998450875,0.00061402,0.977496386,98.34136761,0.007781693,1.41971767,0.998750806,0.634090841,0.572931051,0.430434555,0.935546458,0.675777316,0.009760343,0.013866524,0.158500135,0.216519594,0.956679523,0.227046624,0.992203593,0.324090093,3.071285296,1.395551531,1.798255902,4.458225306,6.088136004,5.512180864,0.05187697,0.140912101,0.910677195,0.75865978,0.513393104,0.521786571,0.691835999,0.880382657,0.004541962,0.661167026,0.435196072,0.787302852,0.49768889,0.562088609,0.854845285,0.899442792,0.929935396,0.226056755,0.065885805,0.275982887,0.600764573,0.050495796,0.009464786,0.700348198,0.466510236,0.011495983,0.00061166,0.932645917,0.037769731,0.051274873,0.827071071,0.963918209,7,1,0,0,"[(12,), (16,), (18, 22, 24, 23), (12,), (12, 9, 24, 13, 16, 17), (12, 9, 13, 16, 18, 17), (14, 15, 6), (15, 14, 13, 12, 24)]","[(12, 13, 16, 17, 18), (12, 13, 16, 17, 18, 22, 24, 25), (12,)]","[(12, 13, 16), (17, 16, 13, 12, 24, 25, 22, 18)]","[(12,), (12, 13, 16, 17, 18)]",0.559,0.585,0.756,0.489,0.298,0.522,0.045,TQ_D21,COC1C2=C(C=Cc3c1cc(OC)cc3C)C(=O)C(=C(C2=O)O)C(C)C,C21H22O5,354.4,26,6,0.33,3,5,1,98.91,72.83,n/d,3.22,3.2,1.24,3.78,2.86,-4.04,3.24E-02,9.15E-05,Moderately soluble,-4.42,1.34E-02,3.78E-05,Moderately soluble,-4.76,6.13E-03,1.73E-05,Moderately soluble,0,0,No,n/d,n/d,n/d,n/d,n/d,-6.18,0,0,0,0,0,0.85,1,1,1,4.52
